ID;deliveryDate;customerName;customerCity;customerStreet;customerHouseNumber;customerApartmentNumber;paymentMethod;totalCost;currency_code;phoneNumber;book_ID;amount
a5c19e98-7f1a-423b-a689-636f3adf6994;2021-07-29;Masha;Minsk;Kozlova;25;2;Cash;27.34;USD;+375298881231;0c4510c4-5cee-4651-beb4-5f54b9c7d97c;1
1fb7eee0-fbd7-4759-8609-e8e829f526b2;2021-05-30;Vladislav;Minsk;Lenina;7;12;Online;12.34;USD;+375294532235;7aa8717f-07e7-484b-b987-8321faf38f2d;3
41cd1b15-6d4e-4321-b3b4-2bae86acccd5;2021-05-15;Egor;Brest;Miroshnichenko;2;4;CreditCard;11.11;USD;+375339913473;7aa8717f-07e7-484b-b987-8321faf38f2d;5
5abaee8a-0b23-4515-9ecd-a780e6cd9fbb;2021-07-30;Katya;Soligorsk;Kolasa;8; 54;Cash;15;USD;+375339913473;0c4510c4-5cee-4651-beb4-5f54b9c7d97c;4
7fc4794d-b5b8-48eb-bdec-243f0ea54484;2021-08-30;Inna Smirnova;Minsk;Kozlova;3;23;CreditCard;12.34;USD;+375259913473;0c4510c4-5cee-4651-beb4-5f54b9c7d97c;7
a5c19e98-7f1a-423b-a689-636f3adf4444;2021-10-08;Sergei;Minsk; Kozlova;25; 2;CreditCard;12.34;USD;+375298881231;0c4510c4-5cee-4651-beb4-5f54b9c7d97c;7
a5c19e98-7f1a-423b-a689-636f3adf4441;2021-07-30;Arina;Soligorsk; Kozlova;25; 2;Cash;12.34;USD;+375298881231;7aa8717f-07e7-484b-b987-8321faf38f2d;7
a5c19e98-7f1a-423b-a689-636f3adf4442;2021-07-30;Zoya;Minsk; Kozlova;25; 2;CreditCard;12.34;USD;+375298881231;0c4510c4-5cee-4651-beb4-5f54b9c7d97c;6
a5c19e98-7f1a-423b-a689-636f3adf4443;2021-04-25;Arina;Grodno; Kozlova;25; 2;Cash;12.34;USD;+375298881231;7aa8717f-07e7-484b-b987-8321faf38f2d;7
a5c19e98-7f1a-423b-a689-636f3adf4445;2021-05-30;Zoya;Minsk; Kozlova;25; 2;Online;12.34;USD;+375298881231;33671331-d6ec-4565-86f5-4b64ed8aa658;9
a5c19e98-7f1a-423b-a689-636f3adf4415;2021-11-04;Zoya;Grodno; Kozlova;25; 2;Cash;12.34;USD;+375298881231;7aa8717f-07e7-484b-b987-8321faf38f2d;7
a5c19e98-7f1a-423b-a689-636f3adf4425;2021-01-30;Igor;Minsk; Kozlova;25; 2;Online;12.34;USD;+375298881231;0c4510c4-5cee-4651-beb4-5f54b9c7d97c;7
a5c19e98-7f1a-423b-a689-636f3adf4435;2021-02-12;Veronica;Minsk; Kozlova;25; 2;CreditCard;12.34;USD;+375298881231;0c4510c4-5cee-4651-beb4-5f54b9c7d97c;7
a5c19e98-7f1a-423b-a689-636f3adf4455;2021-02-03;Katya;Grodno; Kozlova;25; 2;Cash;12.34;USD;+375296781231;0c4510c4-5cee-4651-beb4-5f54b9c7d97c;8
a5c19e98-7f1a-423b-a689-636f3adf4465;2021-02-28;Zoya;Minsk; Kozlova;25; 2;Cash;12.34;USD;+375298881231;11f5072f-96b9-4d5e-9611-f04998e4c903;7
b5c19e98-7f1a-423b-a689-636f3adf4465;2021-03-13;Andrew;Brest; Kozlova;25; 2;Online;12.34;USD;+375297891231;0c4510c4-5cee-4651-beb4-5f54b9c7d97c;7
c5c19e98-7f1a-423b-a689-636f3adf4465;2021-03-15;Arina;Brest; Kozlova;25; 2;Online;12.34;USD;+375298812231;11f5072f-96b9-4d5e-9611-f04998e4c903;6
d5c19e98-7f1a-423b-a689-636f3adf4465;2021-03-23;Olga;Soligorsk; Kozlova;25; 2;Cash;12.34;USD;+375293481231;0c4510c4-5cee-4651-beb4-5f54b9c7d97c;7
